code,description,mi_hes,angina_hes,acs_hes,hf_hes,stroke_hes,tia_hes,ali_hes,mace_hes,macesevere_hes,stroketia_hes,,notes 
I22.8,Subsequent myocardial infarction of other sites,1,,1,,,,,1,,,,definition is that these codes should only be applied after initial infarct. Included in case initial infarct missed 
I22.9,Subsequent myocardial infarction of unspecified site,1,,1,,,,,1,,,,definition is that these codes should only be applied after initial infarct. Included in case initial infarct missed 
I23,Certain current complications following acute myocardial infarction,,,,,,,,1,,,,
I23.0,Haemopericardium as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.1,Atrial septal defect as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.2,Ventricular septal defect as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction,,,,,,,,1,,,,
I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",,,,,,,,1,,,,
I23.8,Other current complications following acute myocardial infarction,,,,,,,,1,,,,
I24.1,Dressler's syndrome,,,,,,,,1,,,,
I50.0,Congestive heart failure,,,,1,,,,,,,,
I11.0,Hypertensive heart disease with (congestive) heart failure,,,,1,,,,,,,,
I13.0,Hypertensive heart and renal disease with (congestive) heart failure,,,,1,,,,,,,,
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,,,,1,,,,,,,,
