prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
34869,18645001000027100,50361020,16,Erythromycin 500mg Tablet (C P Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
63033,21854711000001104,47448020,1,Clarithromycin 250mg tablets (Waymade Healthcare Plc),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,April 2015,1
59249,22604411000001108,16771021,8,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,March 2014,1
28949,228245001000027100,84959020,55,Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd),Diltiazem Hydrochloride,120mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
26252,44225001000027104,53578020,40,Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd),Verapamil hydrochloride,160mg,Tablet,Oral,02030202/02060200,Supraventricular Arrhythmias/Calcium-Channel Blockers,February 2009,1
47895,18290311000001104,99285020,414,Brilique 90mg tablets (AstraZeneca UK Ltd),Ticagrelor,90mg,Tablet,Oral,02090000,Antiplatelet Products,October 2012,1
67541,8276211000001100,18952020,96,Amiodarone 50mg/5ml oral suspension,Amiodarone hydrochloride,10mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,September 2016,1
85859,29227011000001108,48866021,0,Ketoconazole 200mg tablets (A A H Pharmaceuticals Ltd),Ketoconazole,200mg,Tablet,Oral,06070000,Other Endocrine Drugs,March 2022,1
31937,617811000001100,55826020,4841,Warfarin 5mg tablets (Teva UK Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
36182,7961211000001109,88324020,1,VFEND 40mg/ml oral suspension (Pfizer Ltd),Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
82514,16564411000001104,10716020,57,Niaspan 1g modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,1
55589,580111000001102,05853020,158,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2013,1
82323,18159111000001104,08410020,0,Arava 10mg tablets (Mawdsley-Brooks & Company Ltd),Leflunomide,10mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,January 2021,1
5513,193215001000027100,74596020,22077,Dilzem sr 60mg Capsule (Elan Pharma),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
3089,320018007,57107020,254847,Ciprofibrate 100mg tablets,Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,February 2009,1
38964,2885611000001102,95553020,18005,Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
46696,103911000001104,59394020,1,Erythromycin ethyl succinate 250mg/5ml oral suspension (Sandoz Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2012,1
40757,39690011000001104,96686020,50,Darunavir 400mg tablets,Darunavir,400mg,Tablet,Oral,05030151,Protease Inhibitors,November 2009,1
57267,21854311000001100,47449020,0,Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,September 2013,1
66834,21966111000001108,47170020,1,Uard 240XL capsules (Ennogen Healthcare Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2016,1
825,10475001000027100,49314020,37297,Erythroped pi 125mg/5ml Oral suspension (Abbott Laboratories Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
3676,196435001000027100,75265020,33695,Dilzem xl mr 180mg Modified-release capsule (Elan Pharma),Diltiazem Hydrochloride,180mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
62880,41771611000001104,26645021,18,Teriflunomide 14mg tablets,Teriflunomide,14mg,Tablet,Oral,08020400,Other Immunomodulating Drugs,April 2015,1
19690,36149211000001104,85865020,7452,Verapamil 180mg modified-release / Trandolapril 2mg capsules,Verapamil hydrochloride/Trandolapril,180mg + 2mg,Modified-release capsule,Oral,00000000,Unknown,February 2009,1
47552,39702011000001110,98706020,36,Pazopanib 200mg tablets,Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2012,1
27135,155305001000027100,68574020,760,Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
12392,391811000001102,68478020,34728,Univer 180mg modified-release capsules (Teva UK Ltd),Verapamil hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
33686,482311000001107,64160020,74,Erythromycin 250mg gastro-resistant capsules (A A H Pharmaceuticals Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
66570,21919511000001108,47181020,0,Warfarin 1mg tablets (Waymade Healthcare Plc),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,June 2016,1
62466,433911000001109,56365020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,March 2015,1
66850,25711011000001108,27252021,6,Diltiazem 240mg modified-release capsules (Icarus Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2016,1
44866,262485001000027100,99253020,448,Warfarin sodium 1mg/ml oral supension SF,Warfarin Sodium,1mg/ml,Oral Suspension Sugar-Free,Oral,02080200,Oral Anticoagulants,March 2011,1
49101,18251611000001108,06201020,3,Diflucan 150mg capsules (Necessity Supplies Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,January 2013,1
62309,622211000001107,02309020,0,Warfarin 500microgram tablets (Kent Pharma (UK) Ltd),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,February 2015,1
2811,71085001000027104,57067020,58021,Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd),Diltiazem Hydrochloride,180mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
47415,203125001000027100,77105020,11,Diltiazem sr 60mg Capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,June 2012,1
58381,16051311000001100,06196020,0,Fluconazole 150mg capsules (Bristol Laboratories Ltd),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,December 2013,1
60263,626611000001105,05860020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2014,1
34417,508311000001104,55825020,14521,Warfarin 3mg tablets (Teva UK Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
41604,18695001000027108,50367020,29,Erythromycin 500mg Tablet (Hillcross Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,March 2010,1
49952,17902011000001108,05865020,0,Erythromycin 250mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd),Erythromycin,250mg,Gastro-resistant capsule,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,January 2013,1
32590,90311000001104,60639020,39,Verapamil 40mg tablets (Viatris UK Healthcare Ltd),Verapamil hydrochloride,40mg,Tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
58902,17859811000001108,05911020,0,Clarithromycin 500mg tablets (Phoenix Healthcare Distribution Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,February 2014,1
33482,41772711000001110,88322020,182,Voriconazole 200mg/5ml oral suspension,Voriconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
48101,10307511000001104,70460020,0,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Focus Pharmaceuticals Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,December 2012,1
44383,41794711000001104,83134020,7,Ritonavir 80mg/1ml oral solution sugar free,Ritonavir,80mg/1ml,Oral solution,Oral,05030151,Protease Inhibitors,January 2011,1
797,41789311000001104,69721020,341106,Itraconazole 100mg capsules,Itraconazole,100mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
71413,4773111000001108,01883020,29,Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,January 2018,1
37238,41761111000001104,92344020,9,Dasatinib 20mg tablets,Dasatinib monohydrate,20mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,February 2009,1
25278,29665001000027108,51705020,511,Rommix 500mg Tablet (Ashbourne Pharmaceuticals Ltd),Erythromycin,500mg,Tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,February 2009,1
1970,19200811000001108,58794020,54363,Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd),Miconazole nitrate,20mg/1gram,Cream,Vaginal,07020100,Preparations For Vaginal And Vulval Changes,February 2009,1
12730,221665001000027100,82962020,267,"Vitamin c with vitamins, minerals & other ingredients tablets",Betacarotene/Cyanocobalamin/Iron/Ginkgo Biloba/Ginseng/Pyridoxine Hydrochloride/Thiamine Hydrochloride/Vitamin A/Vitamin D/Pantothenic Acid/Ascorbic Acid/Riboflavin/Potassium/Alpha Tocopherol/Copper/Nicotinic Acid/Folic Acid,,Tablets,Oral,09010101/09060700,Oral Iron/Multivitamin And Multimineral Preparations,February 2009,1
25751,224275001000027100,83701020,261,Erythromycin ethylsuccinate (coated) 250mg/5ml oral suspension sugar free,Erythromycin Ethyl Succinate,250mg/5ml,Oral Suspension Sugar-Free,Oral,05010500,Macrolides,February 2009,1
72439,13621311000001102,75489020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free (Pinewood Healthcare),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,July 2018,1
60805,21854911000001100,47450020,0,Clarithromycin 500mg tablets (Waymade Healthcare Plc),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,August 2014,1
51426,20165811000001104,39857020,1,Clarithromycin 500mg tablets (Accord-UK Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,January 2013,1
30197,39023211000001104,90599020,23446,Diltiazem 120mg modified-release capsules,Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
80087,37280511000001104,88569021,230,Empagliflozin 25mg / Linagliptin 5mg tablets,Linagliptin/Empagliflozin,5mg + 25mg,Tablet,Oral,06010211,Gliflozins Plus Gliptins,March 2020,1
4067,3698311000001102,68085020,5941,Olbetam 250mg capsules (Pfizer Ltd),Acipimox,250mg,Capsule,Oral,02120500,Nicotinic Acid Group,February 2009,1
18460,404111000001101,76406020,66,Arava 100mg tablets (Sanofi),Leflunomide,100mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,February 2009,1
71099,20839511000001104,42225020,0,Leflunomide 10mg tablets (Aspire Pharma Ltd),Leflunomide,10mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,December 2017,1
62995,348611000001104,56172020,2,Erythromycin ethyl succinate 500mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2015,1
50223,16544311000001104,05848020,182,Erythrocin 500 tablets (Stephar (U.K.) Ltd),Erythromycin stearate,500mg,Tablet,Oral,05010500,Macrolides,January 2013,1
45870,13620911000001108,75482020,1,Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free (Pinewood Healthcare),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,August 2011,1
81960,4255511000001106,02439020,0,Fenofibrate micronised 200mg capsules (Alliance Healthcare (Distribution) Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,October 2020,1
3061,71725001000027104,57178020,76768,Diltiazem 12hr 180mg modified-release capsules,Diltiazem Hydrochloride,180mg,12 Hour Modified Release Capsules,Oral,02060200,Calcium-Channel Blockers,February 2009,1
42296,11020911000001106,69732020,1,Erythromycin 250mg gastro-resistant tablets (Dr Reddy's Laboratories (UK) Ltd),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,May 2010,1
8067,126685001000027100,64736020,780,Miconazole Twin pack,Miconazole Nitrate,,Twin Pack,,13100200,"Antifungal Preparations (Topical, For Skin Conditions)",February 2009,1
22619,155475001000027100,68606020,1901,Britiazim 60mg Modified-release tablet (Thames Laboratories Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
73643,9753611000001100,71943020,66,Fluconazole 150mg capsules (Somex Pharma),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,November 2018,1
70642,31145211000001104,61251021,8,Generic Genvoya 150mg/150mg/200mg/10mg tablets,Tenofovir alafenamide/Emtricitabine/Elvitegravir/Cobicistat,10mg + 200mg + 150mg + 150mg,Tablet,Oral,05030150,Nucleoside Reverse Transcriptase Inhibitors,November 2017,1
78027,30790811000001100,60188021,14,Akynzeo 300mg/0.5mg capsules (Chugai Pharma UK Ltd),Netupitant/Palonosetron hydrochloride,300mg + 500microgram,Capsule,Oral,04065600,Products Used Against Nausea And Vertigo - 5 HT3 Antagonists,September 2019,1
35517,8275411000001105,92749020,463,Amiodarone 25mg/5ml oral suspension,Amiodarone hydrochloride,5mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
68795,32751111000001104,69461021,9,Warfarin 1mg capsules,Warfarin sodium,1mg,Capsule,Oral,02080200,Oral Anticoagulants,February 2017,1
50946,15080711000001102,05886020,1,Clarithromycin 250mg tablets (Sigma Pharmaceuticals Plc),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,January 2013,1
8558,196015001000027100,75162020,150373,Adizem xl 120mg Capsule (Napp Pharmaceuticals Ltd),Diltiazem Hydrochloride,120mg,Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
4408,599811000001104,76295020,156285,Slozem 240mg capsules (Zentiva Pharma UK Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
86755,39296411000001110,97059021,5,Sofosbuvir 200mg / Velpatasvir 50mg tablets,Velpatasvir/Sofosbuvir,50mg + 200mg,Tablet,Oral,05030302,Chronic Hepatitis C,September 2022,1
73663,13620711000001106,70457020,0,Erythromycin ethyl succinate 500mg/5ml oral suspension (Pinewood Healthcare),Erythromycin ethyl succinate,100mg/1ml,Oral suspension,Oral,05010500,Macrolides,November 2018,1
58760,18257511000001104,05843020,0,Erythroped A 500mg tablets (Necessity Supplies Ltd),Erythromycin ethyl succinate,500mg,Tablet,Oral,05010500,Macrolides,February 2014,1
57660,17965211000001106,05889020,0,Clarithromycin 250mg tablets (Almus Pharmaceuticals Ltd),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,October 2013,1
56652,17462311000001108,98710020,2,Votrient 200mg tablets (Novartis Pharmaceuticals UK Ltd),Pazopanib hydrochloride,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,August 2013,1
15221,199355001000027100,75963020,8,Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd),Diltiazem Hydrochloride,180mg,Modified-Release Capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
46009,887611000001108,63423020,4,Verapamil 120mg tablets (Kent Pharma (UK) Ltd),Verapamil hydrochloride,120mg,Tablet,Oral,02060200,Calcium-Channel Blockers,August 2011,1
48017,234065001000027100,86346020,1,Erythoden 125mg/5ml Liquid (Stevenden Healthcare),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,November 2012,1
82951,15004411000001104,76231020,1,Fenofibrate micronised 67mg capsules (Accord-UK Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,February 2021,1
66172,21965911000001104,47169020,2,Uard 180XL capsules (Ennogen Healthcare Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,May 2016,1
54098,16172811000001108,05840020,13,Erythroped A 500mg tablets (Lexon (UK) Ltd),Erythromycin ethyl succinate,500mg,Tablet,Oral,05010500,Macrolides,March 2013,1
4204,41743011000001104,69616020,250413,Miconazole 20mg/g oromucosal gel sugar free,Miconazole,20mg/1gram,Oromucosal gel,Oromucosal/Oral,12030200,Oropharyngeal Anti-Infective Drugs,February 2009,1
19457,3634111000001100,84468020,27,Ranvera MR 240mg tablets (Ranbaxy (UK) Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
50241,8274611000001107,18929020,53,Amiodarone 200mg/5ml oral suspension,Amiodarone hydrochloride,40mg/1ml,Oral suspension,Oral,02030201,Supraventricular & Ventricular Arrhythmias,January 2013,1
21918,527711000001108,85943020,356,Optil 60mg modified-release tablets (Opus Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
34864,729811000001109,55897020,2074,Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
32037,8159311000001101,87724020,2,Reyataz 100mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd),Atazanavir sulfate,100mg,Capsule,Oral,05030151,Protease Inhibitors,February 2009,1
38372,39686811000001104,93139020,5,Darunavir 300mg tablets,Darunavir ethanolate,300mg,Tablet,Oral,00000000,Unknown,February 2009,1
64312,13620511000001100,70454020,3,Erythromycin ethyl succinate 250mg/5ml oral suspension (Pinewood Healthcare),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,September 2015,1
65636,29955211000001108,52683021,1,Adizem-XL 120mg capsules (Lexon (UK) Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,March 2016,1
9583,232705001000027100,86014020,1736,Klaricid 250mg/5ml Oral suspension (Abbott Laboratories Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
14261,4880011000001107,78206020,5288,Canesten Thrush Oral 150mg capsules (Bayer Plc),Fluconazole,150mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
54897,13745611000001100,05883020,0,Clarithromycin 250mg tablets (Tillomed Laboratories Ltd),Clarithromycin,250mg,Tablet,Oral,05010500,Macrolides,May 2013,1
80319,37280311000001110,88567021,146,Empagliflozin 10mg / Linagliptin 5mg tablets,Linagliptin/Empagliflozin,5mg + 10mg,Tablet,Oral,06010211,Gliflozins Plus Gliptins,April 2020,1
59100,21976211000001108,47440020,0,Erythromycin 250mg gastro-resistant tablets (Waymade Healthcare Plc),Erythromycin,250mg,Gastro-resistant tablet,Oral,05010500/13060201,Macrolides/Oral Antibacterials For Acne,March 2014,1
79142,34814111000001104,78628021,5,Ribociclib 200mg tablets,Ribociclib succinate,200mg,Tablet,Oral,08010551,Protein Kinase Inhibitors,December 2019,1
47192,19376911000001104,00118021,789,Capsorin 100mg capsules (Morningside Healthcare Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,May 2012,1
60620,23929811000001108,21730021,0,Adizem-XL 240mg capsules (Waymade Healthcare Plc),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2014,1
57208,21864811000001104,47167020,5,Diltiazem 120mg modified-release capsules (Cubic Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,September 2013,1
973,456811000001107,74679020,129850,Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
18772,200655001000027100,76339020,16,Dumicoat 5% Denture lacquer (Actavis UK Ltd),Miconazole,5%,Denture Lacquer,Oromucosal,05020000/12030200,Antifungals/Oropharyngeal Anti-Infective Drugs,February 2009,1
45630,17175011000001108,98463020,231,Ritonavir 100mg tablets,Ritonavir,100mg,Tablet,Oral,05030151,Protease Inhibitors,July 2011,1
34751,478411000001109,60016020,3,Amiodarone 200mg tablets (Zentiva Pharma UK Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,February 2009,1
70606,34713411000001108,78181021,1240,Ticagrelor 90mg orodispersible tablets sugar free,Ticagrelor,90mg,Orodispersible tablet,Oral,02090000,Antiplatelet Products,November 2017,1
7551,4994211000001103,87157020,7647,Niaspan 1g modified-release tablets (Abbott Laboratories Ltd),Nicotinic acid,1gram,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,February 2009,1
602,39020211000001104,64208020,919363,Bezafibrate 400mg modified-release tablets,Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,1
23153,68411000001107,64747020,251,Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,February 2009,1
43112,39691711000001104,98192020,33917,Dronedarone 400mg tablets,Dronedarone hydrochloride,400mg,Tablet,Oral,02030202,Supraventricular Arrhythmias,August 2010,1
77947,12027311000001108,30485020,3,Diltiazem 120mg/5ml oral solution,Diltiazem hydrochloride,24mg/1ml,Oral solution,Oral,02060200,Calcium-Channel Blockers,September 2019,1
793,196035001000027100,75164020,221336,Adizem xl 240mg Capsule (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
64147,28320411000001104,44223021,55,Harvoni 90mg/400mg tablets (Gilead Sciences Ltd),Ledipasvir/Sofosbuvir,90mg + 400mg,Tablet,Oral,05030302,Chronic Hepatitis C,September 2015,1
67975,580011000001103,00832020,1,Amiodarone 200mg tablets (Alliance Healthcare (Distribution) Ltd),Amiodarone hydrochloride,200mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,October 2016,1
76421,35574011000001100,81382021,2,Colchicine 400micrograms/5ml oral suspension,Colchicine,80microgram/1ml,Oral suspension,Oral,10010450,Acute Attacks Of Gout,May 2019,1
50948,17902311000001104,05871020,2,Erythromycin ethyl succinate 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd),Erythromycin ethyl succinate,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2013,1
59250,22604011000001104,16770021,5,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,March 2014,1
2215,383511000001102,58844020,19158,Lopid 300mg capsules (Pfizer Ltd),Gemfibrozil,300mg,Capsule,Oral,02120300,Fibrates,February 2009,1
60589,10305211000001108,72795020,103,Warfarin 500microgram tablets (Accord-UK Ltd),Warfarin sodium,500microgram,Tablet,Oral,02080200,Oral Anticoagulants,July 2014,1
67157,17905511000001104,02449020,0,Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,August 2016,1
59863,16158811000001108,01895020,134,Dilzem XL 240 capsules (Lexon (UK) Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,May 2014,1
78757,34878311000001100,78707021,2,Generic Symtuza 800mg/150mg/200mg/10mg tablets,Tenofovir alafenamide fumarate/Emtricitabine/Darunavir ethanolate/Cobicistat,10mg + 200mg + 800mg + 150mg,Tablet,Oral,05030100,HIV Infection,November 2019,1
54529,204945001000027100,77628020,0,Clarithromycin 500mg Modified-release tablet (Hillcross Pharmaceuticals Ltd),Clarithromycin,500mg,Modified-release tablet,Oral,05010500,Macrolides,April 2013,1
13075,254911000001106,87834020,97448,Dilzem XL 180 capsules (Teva UK Ltd),Diltiazem hydrochloride,180mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
70609,33408311000001104,70575021,19,Zepatier 50mg/100mg tablets (Merck Sharp & Dohme (UK) Ltd),Elbasvir/Grazoprevir,50mg + 100mg,Tablet,Oral,05030302,Chronic Hepatitis C,November 2017,1
62796,22588711000001104,16416021,0,Amiodarone 100mg tablets (DE Pharmaceuticals),Amiodarone hydrochloride,100mg,Tablet,Oral,02030201,Supraventricular & Ventricular Arrhythmias,April 2015,1
30618,220415001000027100,82582020,165,Estroven Tablet (Estroven Ltd),Calcium/Folic Acid/Iodine/Nicotinic Acid/Riboflavin/Pyridoxine/Soya Oil/Alpha Tocopherol/Arrowroot/Selenium/Thiamine/Vitamin B12,,Tablet,Oral,09060750,-,February 2009,1
13033,75111000001104,86668020,42962,Angitil XL 240 capsules (Ethypharm UK Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
62760,25238811000001108,29552021,2688,Jardiance 10mg tablets (Boehringer Ingelheim Ltd),Empagliflozin,10mg,Tablet,Oral,06010205,SGLT2 Inhibitors (Gliflozins),April 2015,1
13251,7418711000001109,78368020,1469,Vera-Til SR 240mg tablets (Tillomed Laboratories Ltd),Verapamil hydrochloride,240mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
11973,104111000001100,79934020,5979,Calcicard CR 120mg tablets (Teva UK Ltd),Diltiazem hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,February 2009,1
18852,116711000001106,86924020,1322,Disogram SR 120mg capsules (Ranbaxy (UK) Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
55148,9157711000001108,05918020,0,Clarithromycin 250mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2013,1
26463,215655001000027100,81081020,6,Zemret xl 240mg Capsule (Neo Laboratories Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
44192,823511000001107,97277020,246,Zemret 240 XL capsules (Tillomed Laboratories Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,December 2010,1
